"25,0100 - 25,0700",,,,,Służba stała i lądowa
"25,0700 - 25,2100",,,,,Komunikacja morska
"25,2100 - 25,5500",,,,,Służba stała i ruchoma
"25,5500 - 25,6700",,,,,Radioastronomia
"25,6700 - 26,1000",Cywilne,,,,Radiodyfuzja pasmo 11m - b. mało używane
"26,1000 - 26,1750",,,,,Komunikacja morska
"26,1750 - 26,9600",,,,,Służba stała i ruchoma
"26,9600 - 27,4000",Cywilne,A,,10,"Pasmo obywatelskie 11m, pasmo CB w Polsce"
"27,4000 - 28,0000",,,,,"Służba stała i ruchoma, pomoce meteorologiczne"
"28,0000 - 29,7000",Cywilne,,,,Pasmo amatorskie 10m
"30,0000 - 33,0000",Rządowe,,FM,25,Wojsko (taktyczne)
"33,0000 - 35,0000",Cywilne,,FM,25,"Firmy budowlane, transportowe, ochrona, itp, [simplex]"
"35,0250 - 40,0000",Rządowe,,FM,25,Wojsko (taktyczne)
"40,2800 - 40,4800",Cywilne,,,,Zdalne sterowanie
"40,6800 - 40,8550",Cywilne,,,,Bezprzewodowe Poszukiwanie Osób (BPO)
"40,8800 - 41,0050",Cywilne,,,,Monitoring sieci alarmowych
"41,0150 - 48,0000",Rządowe,,FM,25,Wojsko (taktyczne)
"48,0000 - 50,0000",Cywilne,,FM,"12,5","Lasy Państwowe, Służba Drogowa, Parki Narodowe;
Taxi, firmy ochrony mienia, transportowe, [simplex]"
"50,0000 – 52,0000",Cywilne,,,,Pasmo Amatorskie 6m
"52,0000 - 68,0000",Rządowe,,FM,25,Wojsko (taktyczne)
"68,0000 - 69,2000",Cywilne,,FM,"12,5",Sieci dyspozytorskie [duosimplex]
"69,2000 - 69,9000",Rządowy,,FM,25,Wojsko (taktyczne)
"69,9000 - 70,0000",Cywilne,,FM,"12,5", Sieci dyspozytorskie [duosimplex]
"70,0000 - 70,4500",Cywilne,,,,Pasmo Amatorskie 4m
"70,5000 - 73,3000",Cywilne,,,"12,5",Sieci dyspozytorskie [duosimplex]
"73,3000 - 74,1000",Rządowe,,FM,25,
"74,1000 - 74,8000 ",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, transport [duosimplex]"
"74,8000 - 75,2000",Lotnictwo,,,,Radionawigacja lotnicza
"75,2000 - 77,5000",Rządowe,,FM,25,Wojsko (taktyczne)
"77,5000 - 79,0000",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, transport, GOPR [duosimplex]"
"79,0000 - 79,7000 ",Rządowe,,FM,25,Wojsko (taktyczne)
"79,7000 - 83,9000",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, transport, GOPR [duosimplex]"
"83,9000 - 84,6000",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, transport [duosimplex]"
"84,6000 - 85,0000 ",Cywilne,,FM,"12,5","Sieci taxi, ochrony mienia, transport [duosimplex] "
